lead_id,phone_number,agent_id,category,outcome_of_the_call,trial_date,created_at,lead_score,sentiment
1,+155501001,spardha-logos,Guitar,Favorable,2026-03-01 10:00:00,2026-02-28 09:15:00,88,Positive
2,+155501002,spardha-logos,guitar,Favorable,2026-03-01 11:30:00,2026-02-28 09:20:00,75,Neutral
3,+155501001,spardha-staging,Guitar,Trial Attended,2026-03-01 10:00:00,2026-02-28 14:00:00,92,Positive
4,+155501003,asd,Western Vocals,Unreachable,,2026-02-28 10:00:00,30,Negative
5,+155501004,spardha-logos,Western vocals,Favorable,2026-03-02 15:00:00,2026-02-28 10:30:00,85,Positive
6,+155501005,spardha-logos,Piano,Enrolled,2026-03-02 16:00:00,2026-02-28 11:00:00,95,Positive
7,+155501002,spardha-logos,guitar,Enrolled,2026-03-01 11:30:00,2026-03-01 13:00:00,90,Positive
8,+155501006,test_bot,Drums,Ringing,,2026-02-28 12:00:00,20,Neutral
9,+155501007,spardha-logos,Guitar,Callback Requested,,2026-02-28 12:30:00,60,Neutral
10,+155501008,spardha-logos,Piano,Favorable,2026-03-03 14:00:00,2026-02-28 13:00:00,80,Positive
